"ICT Mitigation Block","Partially filled OB that still acts as support/resistance","Partial fill; still a zone of interest; often after a stop‑hunt","Price respects block again after pullback; “mitigation” of earlier stop‑hunt","Enter on bounce off mitigation block with confirmation (bullish engulfing for long)","Part of the “Order Block Lifecycle”","Ignoring block after first fill","Order Block; Breaker Block; Liquidity Sweep","CAD/JPY 1‑h 2024‑03‑22 OB @ 87.10 partially filled → bounce @ 87.12"
"ICT Propulsion Block","Last OB before an explosive, high‑momentum move","Highest high (or lowest low) OB preceding strong breakout; large volume","Break of block’s high/low with strong momentum; continuation for several bars","Enter on break of propulsion block with tight stop below (long) / above (short)","“Launch pad” in the ICT “Displacement” model","Missing block or entering too late","Order Block; Displacement; Momentum Burst","GBP/USD 15‑min 2024‑07‑01 propulsion block @ 1.2720 → breakout to 1.2760"
"ICT Rejection Block","OB that shows immediate sharp price rejection on first touch","Strong candle with long opposite‑direction wick; volume spike","Pin‑bar or engulfing candle rejecting block; volume surge","Enter after rejection candle closes, targeting next structure level","“Micro‑reversal” within larger ICT structure","Assuming block will hold and continuing in original direction","Order Block; Breaker Block; SFP","NZD/USD 4‑h 2024‑05‑10 bullish rejection block @ 0.6100 → pin‑bar up → move to 0.6180"
"ICT Swing Failure Pattern (SFP)","Brief breach of swing high/low that fails and reverses","Small move into next zone, then close back below (bull) / above (bear)","Candle closing beyond swing high/low with reversal pattern; volume surge","Enter on reversal candle after SFP; use breached swing as stop","“Failure” pattern for quick reversals","Taking initial breach as breakout","Order Block; Breaker Block; Liquidity Sweep","USD/CAD 1‑h 2024‑06‑18 bullish SFP @ 1.3400 → reversed to 1.3365"
"ICT Liquidity Sweep","False breakout that triggers clustered stops before reversing","Sharp, rapid move into pool of liquidity, then immediate reversal; often a “stop‑hunt”","Large volume spike; wick into liquidity pool; reversal candle","Enter on reversal after sweep; stop placed beyond sweep’s high/low","“Stop‑hunt” element confirming institutional liquidity","Chasing the initial move before reversal","Liquidity Pool; Order Block; SFP","EUR/CHF 4‑h 2024‑04‑28 sweep down to 1.0500 (pool) → reversal up to 1.0535"
"ICT Market Structure","Series of swing points (HH/HL) + BOS/CHoCH that define direction","Identify swing highs/lows; BOS = break of prior swing; CHoCH = change of character","BOS confirmed on higher timeframe; price closes beyond swing point","Pullback after BOS → entry using OB/FVG for confluence","Core of all ICT analysis – the “backbone”","Mis‑labeling swing points; ignoring higher‑timeframe bias","PO3 Model; AMD Model; Order Block","GBP/JPY daily 2023‑09‑15 HH 156.00 HL 151.00 BOS 158.20"
"ICT Kill Zone","High‑probability time windows aligned with major market sessions","London Open 07:00‑09:00 GMT, NY Open 13:00‑15:00 GMT, Asian 00:00‑02:00 GMT","Volume spikes; larger candle bodies; frequent BOS","Trade only inside kill zones; combine with OB/FVG confluence","Time‑filter applied to every set‑up","Trading outside the zone","Silver Bullet; Macro Times; Session Analysis","EUR/USD 1‑h 2024‑07‑12 strong move at 07:30 GMT (London Open)"
"ICT Silver Bullet","20‑minute precision window (first 20 min of London/NY) for high‑prob setups","20‑min period; often contains BOS + liquidity sweep","BOS → sweep → retest **within** the 20‑min window","Enter on retest after sweep **inside** 20‑min window; stop just beyond sweep","Very tight timing – must be watching chart","Missing window or entering after it closes","Kill Zone; Session Open; BOS","AUD/JPY 5‑min 2024‑06‑20 BOS 76.50 00:05 GMT → sweep → retest 00:22 GMT"
"ICT Power of Three (PO3) Model","3‑phase cycle: Accumulation → Manipulation → Trend (or Distribution → Manipulation → Trend)","Accumulation range, manipulation (sharp stop‑hunt), trend continuation","Consolidation → breakout with volume surge","Enter at breakout of manipulation into trend; confirm with OB/FVG","Core cycle framework for ICT analysis","Skipping manipulation and entering too early","AMD Model; Market Structure; Liquidity Sweep","USD/CHF daily 2023‑08‑01 accumulation 0.910‑0.925 → breakout 0.945"
"ICT AMD Model","Institutional Accumulation → Manipulation → Distribution phases","Accumulation zone, manipulation swing, distribution swing; mirrored in swing points","Sharp move (manipulation) after range; followed by continuation or reversal","Enter during manipulation with OB/FVG confluence; exit in distribution","Provides timing context for entries/exits","Ignoring distribution phase → staying in losing trade","PO3 Model; Market Structure; Liquidity Sweep","EUR/GBP daily 2023‑11‑10 accumulation 0.850‑0.860 → manipulation 0.880 → distribution 0.845"
"ICT Accumulation Zone (A‑Zone)","Tight range where institutions build positions (usually preceding bullish move)","Small range, low volatility, low volume, frequent re‑tests","Break of zone with strong candle & volume increase","Buy on breakout; stop below zone","First phase of PO3/AMD","Entering inside zone without breakout confirmation","Distribution Zone; PO3; AMD","GBP/USD 4‑h 2024‑05‑30 A‑Zone 1.2600‑1.2650 → breakout 1.2750"
"ICT Distribution Zone (D‑Zone)","Tight range where institutions unload positions (usually preceding bearish move)","Small range, low volume, often after rally","Break below zone with strong bearish candle & volume","Short on breakdown; stop above zone","Final phase of PO3/AMD","Taking longs inside D‑Zone","Accumulation Zone; PO3; AMD","USD/JPY 4‑h 2024‑04‑22 D‑Zone 152.00‑151.70 → breakdown 151.30"
"ICT Displacement","Sudden, large‑scale move signalling strong institutional activity – start of new trend","Huge candle, high volume, breaks multiple swing points, minimal initial retracement","Follow‑up candles maintain direction; volume stays elevated","Enter on first pullback after displacement, using OB/FVG as S/R","“Launch” component of PO3/AMD cycle","Chasing the initial move without pullback","Propulsion Block; Momentum Burst; Market Structure","EUR/USD daily 2024‑03‑15 displacement 1.0600 → 1.0900 in 2 days"
"ICT Institutional Order Flow","Footprint of large institutional trades observable via OBs, volume spikes, and imbalance zones","High‑volume spikes; repeated OBs; order‑block formation","Confluence of OB, FVG, volume imbalance on multiple TFs","Enter when price respects an OB that aligns with order‑flow evidence","Underlying layer for all ICT models – confirmation tier","Relying on price patterns alone without flow confirmation","Volume Imbalance; Smart Money Concepts; ICT Order Block","EUR/USD 1‑h 2024‑07‑05 volume spike 1.0820 coinciding with OB"
"ICT Volume Imbalance","Disproportionate buying or selling volume creating a micro‑inefficiency","Large delta on cumulative‑delta, volume‑histogram spikes; often aligns with FVG","Imbalance aligns with OB/FVG and a price reversal","Enter on reversal after imbalance is absorbed","Micro‑structure element for fine‑tuned entries","Assuming every imbalance leads to reversal","Fair Value Gap; Order Block; Liquidity Void","GBP/USD 5‑min 2024‑06‑14 sell imbalance 1.2750 → reversal 1.2740"
"ICT Multiple‑Timeframe Alignment (MTA)","Confirming a set‑up across two or more time‑frames","Same confluence (OB, FVG, BOS) visible on higher & lower TFs","Higher‑TF bias matches lower‑TF entry","Enter on lower‑TF pullback after higher‑TF confirmation","Time‑filter applied to any ICT model","Ignoring higher‑TF bias; entering on lower‑TF only","Market Structure; PO3; Smart Money Concepts","AUD/USD daily + 4‑h OB 0.6600 (daily) → pullback 4‑h 0.6585"
"ICT Pullback Entry","Entry on a pullback to a key institutional zone after a breakout","Retrace 30‑70% of move; respects zone; then resumes direction","Reversal candle at zone + volume pick‑up","Place entry just above (long) / below (short) zone after confirmation","Refinement of OB/FVG models","Entering before confirmation or on wrong side of zone","Order Block; Fair Value Gap; MTA","USD/CHF 15‑min 2024‑06‑28 pullback to OB 0.9100 after breakout"
"ICT Breakout Entry","Entry taken **as soon as** a key level (OB, FVG, A‑Zone) is broken","Immediate entry; usually high momentum; large candle","Large candle, volume surge, break of BOS","Enter on candle close beyond zone; stop just inside zone","Used for “propulsion” or “displacement” entries","False breakout; insufficient volume confirmation","Propulsion Block; Displacement; Liquidity Sweep","GBP/JPY 5‑min 2024‑07‑03 breakout above OB 156.20 → entry 156.25"
"ICT Stop Hunt","Deliberate move that hunts retail stops before resuming original direction (a subtype of liquidity sweep)","Sharp move into stop pool, long wick, reversal","Volume spike, wick into stop zone, reversal candle","Enter on reversal after stop‑hunt; stop beyond wick","Stop‑hunt element confirming institutional liquidity","Chasing initial move; not respecting reversal","Liquidity Sweep; Liquidity Pool; SFP","EUR/USD 1‑h 2024‑06‑10 stop‑hunt down 1.0750 → reversal up"
"ICT Smart Money Concepts (SMC)","Over‑arching methodology that trades with institutional order flow (OB, FVG, liquidity pools, market structure)","Emphasis on institutional zones, kill‑zone timing, multi‑TF confluence","Multiple SMC elements aligning (e.g., OB + FVG + BOS + kill zone)","Follow the specific entry technique tied to the confluence (pullback, breakout, sweep, etc.)","Integrates all ICT models into a cohesive system","Trying to apply SMC without proper confluence → low‑prob trades","All ICT concepts listed above","Composite example – EUR/USD daily OB 1.0800 + FVG filled → BOS 1.0830 during London kill zone → long"
